NSE/EXCELINFO,Excel Infoways Limited,
NSE/VARUNSHIP,Varun Shipping Company Limited,
NSE/PROZONE,Prozone Capital Shopping Centres Limited,
NSE/UBENGG,UB Engineering Limited,
NSE/PNC,Pritish Nandy Communications Limited,
NSE/STOREONE,Store One Retail India Limited,
NSE/MVLIND,MVL Industries Limited,
NSE/MAX,Max India Limited,
NSE/BARTRONICS,Bartronics India Limited,
NSE/SHAHALLOYS,Shah Alloys Limited,
NSE/SEPOWER,S.E. Power Limited,
NSE/TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,
NSE/TIPSINDLTD,TIPS Industries Limited,
NSE/ZYLOG,Zylog Systems Limited,
NSE/SSLT,Sesa Sterlite Limited,
NSE/KTKNV20ETF,KOTAKMAMC - KTKNV20ETF,
NSE/AHMEDFORGE,Ahmednagar Forgings Limited,
NSE/ASSAMCO,Assam Company India Limited,
NSE/ATLASCYCLE,Atlas Cycles (Haryana) Limited,
NSE/HOCL,Hindustan Organic Chemicals Limited,
NSE/MANAKINDST,Manaksia Industries Limited,
NSE/MSPL,MSP Steel & Power Limited,
NSE/ROHITFERRO,Rohit Ferro-Tech Limited,
NSE/SIMBHALS,Simbhaoli Sugars Limited,
NSE/STINDIA,STI India Limited,
NSE/TREEHOUSE,Tree House Education & Accessories Limited,
NSE/PIRGLASS,Piramal Glass Limited,
NSE/FTCPOF5YDV,Franklin Templeton Capital Protection Oriented Fund,
NSE/BROADCAST,Broadcast Initiatives Limited,
NSE/ORIENTCERA,Orient Ceramics and Industries Limited,
NSE/CMC,CMC Limited,
NSE/STER,Sterlite Industries ( India ) Limited,
NSE/RELMEDIA,Reliance MediaWorks Limited,
NSE/SEZALGLASS,Sezal Glass Limited,
NSE/GULFOILCOR,Gulf Oil Corporation Limited,
NSE/TANTIACONS,Tantia Constructions Limited,
NSE/FAME,Fame India Limited,
NSE/SHASUNPHAR,Shasun Pharmaceuticals Limited,
NSE/ROMAN,Roman Tarmat Limited,
NSE/VTXIND,VTX Industries Limited,
NSE/ZENITHINFO,Zenith Infotech Limited,
NSE/HOPFL,House of Pearl Fashions Limited,
NSE/MAHINDFORG,Mahindra Forgings Limited,
NSE/PEPL,Pearl Engineering Polymers Limited,
NSE/VKSPL,VKS Projects Limited,
NSE/EONELECT,Eon Electric Limited,
NSE/NORTHGATE,Northgate Technologies Limited,
NSE/CNX_NIFTY_JUNIOR,National Stock Exchange of India (NSE) Stock Index - Junior Nifty,
NSE/CNXENERGY,National Stock Exchange of India Stock Index - CNX ENERGY,
NSE/SITICABLE,Siti Cable Network Limited,
NSE/SBTINTL,SB&T International Limited,
NSE/VIDHIDYE,Vidhi Dyestuffs Manufacturing Limited,
NSE/EQ30,EDELAMC - EQ30,
NSE/HYDRBADIND,Hyderabad Industries Limited,
NSE/KALECONSUL,Kale Consultants Limited,
NSE/GEODESIC,Geodesic Limited,
NSE/SAMINDUS,SAM Industries Limited,
NSE/KFA,Kingfisher Airlines Limited,
NSE/SAKTHIFIN,Sakthi Finance Limited,
NSE/AGRE,Agre Developers Limited,
NSE/PIRLIFE,Piramal Life Sciences Limited,
NSE/BSTRANSCOM,BS TransComm Limited,
NSE/VARUN,Varun Industries Limited,
NSE/RESURGERE,Resurgere Mines & Minerals India Limited,
NSE/COREEDUTEC,CORE Education & Technologies Limited,
NSE/WANBURY,Wanbury Limited,
NSE/AICHAMP,AI Champdany Industries Limited,
NSE/ZENITHCOMP,Zenith Computers Limited,
NSE/CMAHENDRA,C. Mahendra Exports Limited,
NSE/HELIOSMATH,Helios And Matheson Information Technology Limited,
NSE/INNOIND,Innoventive Industries Limited,
NSE/SOFTTECHGR,Software Technology Group International Limited,
NSE/PLETHICO,Plethico Pharmaceuticals Limited,
NSE/REISIXTEN,REI Six Ten Retail Limited,
NSE/SIRPAPER,The Sirpur Paper Mills Limited,
NSE/CINEMAX,Cinemax India Limited,
NSE/WELPROJ,Welspun Projects Limited,
NSE/BELLCERATL,Bell Ceramics Limited,
NSE/PANCHSHEEL,Panchsheel Organics Limited,
NSE/KITPLYIND,Kitply Industries Limited,
NSE/NUMERICPW,Numeric Power Systems Limited,
