Company Name,Sector,Symbol
ABB India Limited,INDUSTRIAL MANUFACTURING,ABB
Apollo Hospitals Enterprises Limited,HEALTHCARE SERVICES,APOLLOHOSP
Ashok Leyland Limited,AUTOMOBILE,ASHOKLEY
Bajaj Finance Limited,FINANCIAL SERVICES,BAJAJFINSV
Bajaj Finserv Limited,FINANCIAL SERVICES,BAJFINANCE
Bharat Electronics Limited,INDUSTRIAL MANUFACTURING,BEL
Bharat Forge Limited,INDUSTRIAL MANUFACTURING,BHARATFORG
Britannia Industries Limited,INDUSTRIAL MANUFACTURING,BRITANNIA
Cadila Healthcare Limited,PHARMA,CADILAHC
Castrol India Limited,ENERGY,CASTROLIND
Colgate Palmolive (India) Limited,CONSUMER GOODS,COLPAL
Container Corporation of India Limited,SERVICES,CONCOR
Cummins India Limited,INDUSTRIAL MANUFACTURING,CUMMINSIND
DLF Limited,CONSTRUCTION,DABUR
Dabur India Limited,CONSUMER GOODS,DIVISLAB
Divi's Laboratories Limited,PHARMA,DLF
Emami Limited,CONSUMER GOODS,EMAMILTD
GlaxoSmithkline Consumer Healthcare Limited,CONSUMER GOODS,GLAXO
Glaxosmithkline Pharmaceuticals Limited,PHARMA,GLENMARK
Glenmark Pharmaceuticals Limited,PHARMA,GODREJCP
Godrej Consumer Products Limited,CONSUMER GOODS,GSKCONS
Havells India Limited,CONSUMER GOODS,HAVELLS
Hindustan Petroleum Corporation Limited,ENERGY,HINDPETRO
Hindustan Zinc Limited,METALS,HINDZINC
Indiabulls Housing Finance Limited,FINANCIAL SERVICES,IBULHSGFIN
Indian Oil Corporation Limited,ENERGY,INDIGO
InterGlobe Aviation Limited,SERVICES,IOC
JSW Steel Limited,METALS,JSWSTEEL
LIC Housing Finance Limited,FINANCIAL SERVICES,LICHSGFIN
Marico Limited,CONSUMER GOODS,MARICO
Motherson Sumi Systems Limited,AUTOMOBILE,MCDOWELL-N
NHPC Limited,ENERGY,MOTHERSUMI
NMDC Limited,METALS,NHPC
Oil India Limited,ENERGY,NMDC
Oracle Financial Services Software Limited,IT,OFSS
Pidilite Industries Limited,CHEMICALS,OIL
Piramal Enterprises Limited,PHARMA,PEL
Power Finance Corporation Limited,FINANCIAL SERVICES,PFC
Procter & Gamble Hygiene & Health Care Limited,CONSUMER GOODS,PGHH
Punjab National Bank,FINANCIAL SERVICES,PIDILITIND
Shree Cement Limited,CEMENT & CEMENT PRODUCTS,PNB
Shriram Transport Finance Co. Limited,FINANCIAL SERVICES,SAIL
Siemens Limited,INDUSTRIAL MANUFACTURING,SHREECEM
Steel Authority of India Limited,METALS,SIEMENS
Titan Company Limited,CONSUMER GOODS,SRTRANSFIN
Torrent Pharmaceuticals Limited,PHARMA,TITAN
UPL Limited,FERTILISERS & PESTICIDES,TORNTPHARM
United Breweries Limited,CONSUMER GOODS,UBL
United Spirits Limited,CONSUMER GOODS,UPL
Vedanta Limited,METALS,VEDL
NIFTY 50,,NIFTY 50
ACC Limited,CEMENT & CEMENT PRODUCTS,ACC
Adani Ports and Special Economic Zone Limited,SERVICES,ADANIPORTS
Ambuja Cements Limited,CEMENT & CEMENT PRODUCTS,AMBUJACEM
Asian Paints Limited,CONSUMER GOODS,ASIANPAINT
Aurobindo Pharma Limited,PHARMA,AUROPHARMA
Axis Bank Limited,FINANCIAL SERVICES,AXISBANK
Bajaj Auto Limited,AUTOMOBILE,BAJAJ-AUTO
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA
Bharat Heavy Electricals Limited,INDUSTRIAL MANUFACTURING,BHARTIARTL
Bharat Petroleum Corporation Limited,ENERGY,BHEL
Bharti Airtel Limited,TELECOM,BOSCHLTD
Bharti Infratel Limited,TELECOM,BPCL
Bosch Limited,AUTOMOBILE,CIPLA
Cipla Limited,PHARMA,COALINDIA
Coal India Limited,METALS,DRREDDY
Dr. Reddy's Laboratories Limited,PHARMA,EICHERMOT
Eicher Motors Limited,AUTOMOBILE,GAIL
GAIL (India) Limited,ENERGY,GRASIM
Grasim Industries Limited,CEMENT & CEMENT PRODUCTS,HCLTECH
HCL Technologies Limited,IT,HDFC
HDFC Bank Limited,FINANCIAL SERVICES,HDFCBANK
Hero MotoCorp Limited,AUTOMOBILE,HEROMOTOCO
