_id,Name,Code,date,High,Low,Open,Close,Last,Total_Trade_Quantity,Turnover_in_Lakhs,Sector,Index
ObjectId(58d10248e9804518868d85d0),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-01-03T00:00:00.000Z,2530.1,2511,2530.1,2518,2517,70853,1784.75,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85d1),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-01-10T00:00:00.000Z,2443.9,2360,2432.5,2375.85,2371.05,206203,4910.25,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85d2),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-01-17T00:00:00.000Z,2369.95,2313,2369.95,2322.15,2321,334940,7795.5,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85d3),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-01-24T00:00:00.000Z,2329.3,2274.15,2279,2318.85,2322.25,161259,3736.86,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85d4),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-01-31T00:00:00.000Z,2359.9,2263.55,2270,2341.95,2356,234367,5418.69,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85d5),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-02-07T00:00:00.000Z,2378.95,2303.15,2318.4,2366.35,2366,261889,6151.87,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85d6),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-02-14T00:00:00.000Z,2328.8,2251,2310,2304.4,2304,326424,7445.95,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85d7),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-02-21T00:00:00.000Z,2467,2406.15,2410,2455.8,2463,310736,7584.51,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85d8),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-02-28T00:00:00.000Z,2351.9,2221.85,2331.2,2238.1,2239.15,524806,11799.83,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85d9),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-03-06T00:00:00.000Z,2324.1,2262.6,2289.8,2306.25,2320,339975,7785.73,AUTOMOBILE,NIFTY AUTO
